,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
63,EGARCH,ConstantMean,normal,2,1,12800.054628773029,12828.856963919096,-6395.027314386514
64,EGARCH,ConstantMean,studentst,2,1,12099.611280931065,12134.174083106345,-6043.805640465533
65,EGARCH,ConstantMean,skewstudent,2,1,12093.290603185986,12133.613872390479,-6039.645301592993
66,EGARCH,ConstantMean,normal,2,2,12798.78047363336,12833.34327580864,-6393.39023681668
67,EGARCH,ConstantMean,studentst,2,2,12101.606940487774,12141.930209692267,-6043.803470243887
68,EGARCH,ConstantMean,skewstudent,2,2,12095.222156456628,12141.305892690336,-6039.611078228314
69,EGARCH,ConstantMean,normal,2,3,12804.074752427292,12844.398021631785,-6395.037376213646
70,EGARCH,ConstantMean,studentst,2,3,12103.582028249646,12149.665764483354,-6043.791014124823
71,EGARCH,ConstantMean,skewstudent,2,3,12097.19863559102,12149.04283885394,-6039.59931779551
72,EGARCH,ConstantMean,normal,3,1,12801.87120102782,12836.4340032031,-6394.93560051391
73,EGARCH,ConstantMean,studentst,3,1,12101.611280473877,12141.93454967837,-6043.805640236938
74,EGARCH,ConstantMean,skewstudent,3,1,12095.257208356667,12141.340944590374,-6039.628604178333
75,EGARCH,ConstantMean,normal,3,2,12800.695590042844,12841.018859247337,-6393.347795021422
76,EGARCH,ConstantMean,studentst,3,2,12102.509410813916,12148.593147047624,-6043.254705406958
77,EGARCH,ConstantMean,skewstudent,3,2,12096.952270592388,12148.79647385531,-6039.476135296194
78,EGARCH,ConstantMean,normal,3,3,12805.871201280728,12851.954937514436,-6394.935600640364
79,EGARCH,ConstantMean,studentst,3,3,12105.400348163354,12157.244551426274,-6043.700174081677
80,EGARCH,ConstantMean,skewstudent,3,3,12098.951676071756,12156.55634636389,-6039.475838035878
