,crypto,ann_model,n_layers,drop_rate,optimizer,ann_mse_in,ann_mse_out,best_model_ts_or_ann,test_size,ts_model,ts_dist,ts_p,ts_q,ts_mse_in,ts_mse_out
66,EOS,model2,3,0.5,sgd,0.39224084607371085,0.619568857662462,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
67,EOS,model3,3,0.5,sgd,0.06066339856365344,0.2932771844316529,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
68,EOS,model4,3,0.5,sgd,0.07212493386301962,0.8073515844660879,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
69,EOS,model5,2,0.5,sgd,0.0630899325950996,0.33880227397938173,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
70,EOS,model1,4,0.4,rmsprop,0.11928969691995975,0.9071932957398707,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
71,EOS,model2,3,0.4,rmsprop,0.13815369501293123,0.28557222196729504,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
72,EOS,model3,3,0.4,rmsprop,0.023799012480238517,0.21104651577688474,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
73,EOS,model4,3,0.4,rmsprop,0.032433713376001046,0.3808064466675386,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
74,EOS,model5,2,0.4,rmsprop,0.06140408374473348,0.8280713079254622,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
75,EOS,model1,4,0.5,rmsprop,0.14738987594634503,0.47042148279038487,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
76,EOS,model2,3,0.5,rmsprop,0.29091668032578655,0.2991552406852082,ANN,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
77,EOS,model3,3,0.5,rmsprop,0.03963208267582463,0.7601924050459535,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
78,EOS,model4,3,0.5,rmsprop,0.08076443778468179,0.5840252208920241,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
79,EOS,model5,2,0.5,rmsprop,0.07735077395930991,0.5667012174661059,TS,453,GARCH,normal,1,1,1.1925098063963002,0.4923942023902879
80,ETH,model1,4,0.4,sgd,0.15758399623351133,0.055695587008467835,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
81,ETH,model2,3,0.4,sgd,0.105731512822819,0.0441577642103431,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
