Date,open,high,low,close,market_cap,lagged_open,lagged_close,log_price,pct_change,returns,log_returns,idx,stdev14,stdev30,stdev60,hvol14,hvol30,hvol60,variance14,variance30,variance60,sma_14,sma_28,sma_12,lagged_sma_12,ema_12,sma_26,lagged_sma_26,ema_26,rsi,macd,momentum,boll_bands_upper_band,boll_bands_lower_band
2015-03-18,285.07,285.34,249.87,256.3,3576671767,255.88,260.93,5.546348633370026,-0.1079284213823355,-10.79284213823355,-0.10792842138233621,687,0.0348754017054173,0.03262708073862597,0.0406102206698774,0.6662936140334017,0.6233395022750912,0.7758571765102712,0.4439471801016917,0.3885521350965584,0.6019543583424901,282.68785714285667,266.8742857142853,284.0608333333328,282.78333333333285,278.70897435897393,268.7853846153846,269.41615384615386,268.4445868945869,42.695604020373864,10.264387464387028,12.080000000000013,289.56396800582775,251.80317485131403
2015-03-19,255.88,264.24,248.64,260.93,3642156965,260.96,261.75,5.564252172117131,0.017903538747105152,1.7903538747105152,0.017903538747105083,688,0.03513158120674621,0.03199169823291058,0.040130108050601423,0.6711879165341583,0.6112005365478249,0.7666846377982443,0.4504932193014643,0.37356609587634904,0.587805333835825,281.598571428571,267.6117857142853,282.78333333333285,281.73333333333284,278.5328205128201,269.41615384615386,270.4073076923077,269.70528490028494,45.3274904186638,8.827535612535144,13.659999999999997,286.1998367346789,248.62159183674865
2015-03-20,260.96,264.85,259.16,261.75,3654506819,261.64,260.02,5.567389849750646,0.0031376776335152456,0.31376776335152456,0.003137677633515633,689,0.035091867392690095,0.03141272535087992,0.04006412844702636,0.6704291851819574,0.6001392751678414,0.7654240992418756,0.4494752923437433,0.36016714959898205,0.5858740517002367,280.81499999999954,268.25357142857104,281.73333333333284,279.26749999999953,276.5724999999996,270.4073076923077,271.22,270.51851851851853,45.80225462119687,6.05398148148106,8.740000000000009,283.2501155873665,246.09845584120387
2015-03-21,261.64,262.2,255.65,260.02,3631424642,259.92,267.96,5.560758551134023,-0.006631298616623482,-0.6631298616623482,-0.006631298616623699,690,0.03482201740753364,0.03136457750113452,0.04000181270168305,0.6652737084543926,0.5992194117900437,0.7642335585987401,0.4425891071606602,0.3590639034660059,0.584052932088494,279.65499999999946,268.80678571428535,279.26749999999953,277.2841666666662,274.6281410256406,271.22,272.3438461538462,271.4309686609687,44.91606313402591,3.1971723646719283,5.699999999999989,280.88470338516896,244.30815375768722
2015-03-22,259.92,269.75,259.59,267.96,3743193531,267.89,266.74,5.590837715640067,0.030079164506044087,3.0079164506044087,0.030079164506044132,691,0.035911741367780664,0.031684587674092025,0.03918096394161941,0.6860928554825685,0.6053331975599776,0.7485512650573675,0.4707234063442246,0.3664282800681869,0.5603289964189851,279.1985714285709,269.9489285714282,277.2841666666662,274.81416666666615,273.759679487179,272.3438461538462,273.4696153846154,273.0614957264957,49.724017795200034,0.698183760683321,14.259999999999991,278.1129293592131,240.839927783643
2015-03-23,267.89,277.3,261.74,266.74,3727111341,266.58,245.6,5.586274401194249,-0.004563314445817923,-0.4563314445817923,-0.004563314445818229,692,0.032406106382519596,0.03171486256533776,0.039049900162904744,0.6191177931294171,0.6059115985450895,0.7460472950808696,0.38330684176943963,0.36712886525146565,0.5565865664974822,277.5649999999995,270.9435714285711,274.81416666666615,270.75166666666615,270.13448717948677,273.4696153846154,273.8223076923077,273.29769230769233,49.01607537122123,-3.1632051282055613,6.139999999999986,273.01861193310754,239.78281663832013
2015-03-24,266.58,267.0,244.15,245.6,3432718154,247.47,246.2,5.503704196272987,-0.08257020492126177,-8.257020492126177,-0.08257020492126119,693,0.03763539894195936,0.034604821796976125,0.04052903388552495,0.7190232871993499,0.6611241921410628,0.7743061051730903,0.5169944875349589,0.4370851974341729,0.5995499445083208,274.2678571428566,271.1885714285711,270.75166666666615,267.4899999999995,264.12230769230723,273.8223076923077,273.52884615384613,271.4600427350427,38.72701744710647,-7.33773504273546,-9.890000000000015,272.5289198248185,234.37393731803766
2015-03-25,247.47,249.19,236.51,246.2,3442129496,246.28,248.53,5.506144213750353,0.0024400174773662187,0.24400174773662187,0.0024400174773656284,694,0.037080947548214144,0.034546339837931525,0.03973393998142688,0.7084305081952598,0.660006895882321,0.7591158574640542,0.501873784941794,0.43560910261221686,0.5762568850533862,270.6835714285709,271.5003571428568,267.4899999999995,264.7099999999995,261.8623076923073,273.52884615384613,273.30846153846153,271.30042735042736,39.11764195953612,-9.438119658120058,-6.980000000000018,271.55503240684504,234.05782473601116
2015-03-26,246.28,254.35,244.9,248.53,3475701380,248.57,247.03,5.515563562596163,0.009419348845809417,0.9419348845809417,0.009419348845809325,695,0.03751592152707173,0.03457757611841746,0.03963617733468461,0.7167406743929581,0.6606036641830774,0.7572481047205707,0.5137171943292723,0.43639720113210806,0.5734246921028964,267.41071428571377,271.9324999999996,264.7099999999995,261.42999999999955,259.4453846153842,273.30846153846153,272.80192307692306,271.00400284900286,40.69868662027598,-11.558618233618631,3.509999999999991,271.1667999718645,233.31462859956306
2015-03-27,248.57,256.81,245.21,247.03,3455731911,246.98,252.8,5.509509786742492,-0.006053775853670729,-0.6053775853670729,-0.00605377585367039,696,0.037162549580329746,0.03458244914678138,0.03840875414297685,0.7099895128298166,0.6606967632592488,0.7337982175691823,0.5040851083283203,0.43652021298124777,0.538459824107709,264.6742857142852,271.6896428571425,261.42999999999955,258.28083333333285,256.5499358974355,272.80192307692306,271.9223076923077,270.07843304843306,39.97890038175003,-13.528497150997566,3.3499999999999943,270.41837070972906,233.00162929026996
2015-03-28,246.98,254.21,246.98,252.8,3537377134,252.74,242.71,5.532598662272703,0.02308887553021055,2.308887553021055,0.023088875530210454,697,0.03813247352468282,0.03478253224640619,0.0382548271076693,0.7285198837680288,0.6645193455102602,0.7308574456887947,0.5307412210453821,0.4415859605573845,0.5341526059187496,262.5964285714281,271.63749999999965,258.28083333333285,254.7141666666662,254.41967948717908,271.9223076923077,270.4226923076923,269.11730769230763,44.076123813703624,-14.697628205128552,16.730000000000018,270.42079307427014,232.09634978287173
2015-03-29,252.74,253.14,240.85,242.71,3397187115,242.88,247.53,5.491867315015168,-0.0407313472575348,-4.07313472575348,-0.040731347257534335,698,0.038411900533728074,0.033162978683740116,0.035425976119086725,0.7338583292800811,0.6335778181407896,0.6768123234371457,0.538548047453752,0.4014208516400435,0.45807492115638754,259.4764285714281,271.0128571428568,254.7141666666662,253.98333333333287,252.24897435897395,270.4226923076923,269.43961538461537,267.45964387464386,39.0553949303951,-15.210669515669906,6.159999999999997,269.99510828107435,231.4706060046389
2015-03-30,242.88,249.24,239.21,247.53,3465419693,247.45,244.22,5.511531786784362,0.01966447176919406,1.9664471769194058,0.019664471769193465,699,0.03868389337641071,0.03337675228114766,0.0355081725666809,0.7390547452432005,0.6376619569846863,0.6783826843634752,0.546201916466492,0.4066127713855399,0.46020306644419434,256.40071428571383,270.0078571428568,253.98333333333287,252.59083333333285,251.8122435897432,269.43961538461537,268.2103846153846,266.6785042735043,42.42909879936192,-14.866260683761112,11.379999999999995,269.265761394713,230.5928100338574
2015-03-31,247.45,248.73,242.74,244.22,3420112896,244.22,247.27,5.498069458404876,-0.01346232837948591,-1.346232837948591,-0.013462328379485793,700,0.03865118188313144,0.03314525995308464,0.03531864669446155,0.7384297930416008,0.6332393022669298,0.6747617976588427,0.5452785592514614,0.4009920139355081,0.455303483579793,253.4514285714281,268.66928571428537,252.59083333333285,251.38416666666618,250.28198717948678,268.2103846153846,267.23153846153843,265.52698005698005,40.76040806594749,-15.244992877493274,19.629999999999995,269.83269255422374,231.10873601720382
2015-04-01,244.22,247.54,241.16,247.27,3463619267,247.09,253.01,5.5104808570190835,0.012411398614207592,1.2411398614207592,0.012411398614207552,701,0.02812131281533168,0.03136699522591051,0.034924891481053585,0.5372569269698384,0.5992656023570323,0.6672391148693471,0.2886450055770743,0.3591192621683368,0.4452080364116297,252.80642857142809,267.7471428571425,251.38416666666618,250.79999999999953,250.25692307692267,267.23153846153843,266.33730769230766,264.92491452991453,42.9855292727469,-14.667991452991856,28.110000000000014,264.46881873656974,236.3040384062864
